# https://www.primagames.com/games/killer-instinct/feature/killer-instinct-frame-data-analysis-jago
Attack Startup Active Advantage_on_hit Advantage_on_block
Double_Roundhouse 7 4 5 3
Neck_Cutter 18 2 -2 -6
LP 4 2 4 0
Close_MP 4 2 4 0
Far_MP 5 3 1 -2
Close_MP 4 3 2 -1
Far_MP 5 3 1 -2
Close_HP 6 5 -1 -4
Far_HP 10 3 -3 -6
Close_LK 6 4 5 2
Far_LK 6 4 5 2
Close_MK 5 4 4 1
Far_MK 7 3 3 -2
Close_HK 7 4 2 -2
Far_HK 10 5 0 -5
Crouching_LP 4 2 4 2
Crouching_MP 6 2 0 -2
Crouching_HP 9 5 -4 -7
Crouching_LK 4 2 4 1
Crouching_MK 6 2 3 1
Crouching_HK 7 2 N/A -9
Jump_LP 6 7 15 8
Jump_MP 6 3 16 12
Jump_HP 11 3 20 17
Jump_LK 6 8 15 8
Jump_MK 7 10 16 12
Jump_HK 10 12 20 17
Wind_Kick_LK 9 6 4 -2
Wind_Kick_MK 10 9 3 -3
Wind_Kick_HK 13 19 1 -5
Laser_Sword_LP 7 2 2 -1
Laser_Sword_MP 9 2 4 1
Laser_Sword_HP 10 3 5 2
Tiger_Fury_LP 2 8 N/A -27
Tiger_Fury_MP 2 8 N/A -34
Tiger_Fury_HP 2 8 N/A -40
Endokuken_ALL 14 0 2 -8
Shadow_Tiger_Fury 3/0 4 N/A -42
Shadow_Endokuken 5/1 0 N/A -4
Shadow_Laser_Sword 3/2 4 6 2
Shadow_Wind_Kick 3/3 20 5 1
